"","id","institution_name","institution_address","outbreak_setting","type_of_outbreak","causative_agent_1","causative_agent_2","date_outbreak_began","date_declared_over","active","setting_count","type_count","outbreak_year","year_count"
"41",9,"Centre For Addiction and Mental Health - Queen Street Site - GAU A","1001 Queen St West","Hospital-Psychiatric","Respiratory","COVID-19",NA,2024-03-24,NA,"Y",8,247,"2024",272
"42",9,"Chartwell Lansing Retirement Residence","10 Senlac Road","Retirement Home","Respiratory","COVID-19",NA,2020-12-30,2021-01-22,"N",97,519,"2020",553
"43",9,"Mon Sheong Scarborough Long Term Care Centre - 2nd Fl","2030 McNicoll Ave","LTCH","Respiratory","COVID-19",NA,2021-12-30,2022-01-20,"N",187,385,"2021",394
"44",9,"Mon Sheong Scarborough LTC Centre - 3rd South","2030 McNicoll Ave","LTCH","Respiratory","Respiratory syncytial virus",NA,2023-12-29,2024-01-17,"N",601,1016,"2023",1066
"45",9,"Westside - Etobicoke - 4th Fl","1145 Albion Rd","LTCH","Respiratory","COVID-19",NA,2022-12-30,2023-01-10,"N",477,1107,"2022",1133
"46",10,"Belmont House - 2WW","55 Belmont St","LTCH","Respiratory","Parainfluenza",NA,2024-03-22,NA,"Y",169,247,"2024",272
"47",10,"Cummer Lodge - 3 South & Main Fl (SCU)","205 Cummer Ave","LTCH","Respiratory","COVID-19",NA,2022-12-29,2023-01-18,"N",477,1107,"2022",1133
"48",10,"Harold & Grace Baker Centre","1 Northwestern Ave","LTCH","Respiratory","COVID-19",NA,2020-12-30,2021-02-13,"N",316,519,"2020",553
"49",10,"North York General Hospital - 5 West","4001 Leslie Street","Hospital-Acute Care","Respiratory","COVID-19",NA,2021-12-30,2022-01-16,"N",102,385,"2021",394
"50",10,"Shepherd Lodge - 4th Fl South","3760 Shepherd Ave E","LTCH","Respiratory","Respiratory syncytial virus",NA,2023-12-29,2024-01-17,"N",601,1016,"2023",1066
"51",11,"Kipling Acres - 1S (Humber & Pinepoint) & 2S (Elms)","2233 Kipling Ave","LTCH","Respiratory","COVID-19",NA,2022-12-29,2023-01-25,"N",477,1107,"2022",1133
"52",11,"St. Bernard's Residence - 2nd & 3rd Fl","685 Finch Ave W","Retirement Home","Respiratory","COVID-19",NA,2021-12-30,2022-01-20,"N",55,385,"2021",394
"53",11,"Unity Health Toronto - Houses Of Providence - 2E (Spruce & Chestnut)","3276 St. Clair Ave E","LTCH","Respiratory","Parainfluenza",NA,2024-03-22,NA,"Y",169,247,"2024",272
"54",11,"Unity Health Toronto - Houses of Providence - HOP 1W (Maple & Balsam)","76 St. Clair Ave E","LTCH","Respiratory","Coronavirus*","Influenza A (Not subtyped)",2023-12-29,2024-01-12,"N",601,1016,"2023",1066
"55",11,"University Health Network - Toronto General Hospital - 4MB","200 Elizabeth Street","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-29,2021-01-12,"N",82,519,"2020",553
"56",12,"Elm Grove Living Centre - 1st & 2nd Fl","35 Elm Grove Avenue","LTCH","Respiratory","COVID-19",NA,2020-12-29,2021-02-10,"N",316,519,"2020",553
"57",12,"New Horizons Tower","1140 Bloor St W","Retirement Home","Enteric","Pending",NA,2024-03-22,NA,"Y",35,25,"2024",272
"58",12,"Sts. Peter and Paul Residence","221 Milner Ave","Retirement Home","Respiratory","COVID-19",NA,2021-12-30,2022-02-15,"N",55,385,"2021",394
"59",12,"Sunnybrook Health Sciences Centre - St. John's Rehab - A4","285 Cummer Avenue","Hospital-Chronic Care","Respiratory","COVID-19",NA,2022-12-29,2023-01-23,"N",177,1107,"2022",1133
"60",12,"Valleyview Residence - 4E","541 Finch Ave W","LTCH","Respiratory","Metapneumovirus",NA,2023-12-29,2024-01-16,"N",601,1016,"2023",1066
"61",13,"Cedarhurst Dementia Care Home - 1 West & 2 East","2601 Bayview Ave","Retirement Home","Respiratory","COVID-19",NA,2023-12-28,2024-01-18,"N",195,1016,"2023",1066
"62",13,"Chartwell Grenadier Retirement Residence - 2nd, 3rd, 4th -","2100 Bloor Street - & 5th Fl Assisted Living","Retirement Home","Respiratory","COVID-19",NA,2020-12-29,2021-02-14,"N",97,519,"2020",553
"63",13,"Craiglee Nursing Home - 3 East","102 Craiglee Dr","LTCH","Respiratory","Metapneumovirus",NA,2024-03-21,NA,"Y",169,247,"2024",272
"64",13,"Sunnybrook Health Sciences Centre - Bayview Campus - C6","2075 Bayview Avenue","Hospital-Acute Care","Respiratory","COVID-19",NA,2021-12-30,2022-01-13,"N",102,385,"2021",394
"65",13,"Ukrainian Canadian Care Centre - 2nd & 3rd Fl","60 Richview Road","LTCH","Respiratory","COVID-19",NA,2022-12-29,2023-01-25,"N",477,1107,"2022",1133
"66",14,"Baycrest Hospital - North York - H7W","3560 Bathurst St","Hospital-Chronic Care","Respiratory","COVID-19",NA,2024-03-21,NA,"Y",33,247,"2024",272
"67",14,"Bendale Acres","2920 Lawrence Avenue East","LTCH","Respiratory","COVID-19",NA,2020-12-29,2021-02-24,"N",316,519,"2020",553
"68",14,"Deerwood Creek Care Community - 1A","70 Humberline Dr","LTCH","Respiratory","Influenza A (Not subtyped)",NA,2023-12-28,2024-01-12,"N",601,1016,"2023",1066
"69",14,"Unity Health Toronto - Providence - B4","3276 St. Clair Avenue East","Hospital-Chronic Care","Respiratory","COVID-19",NA,2022-12-29,2023-01-18,"N",177,1107,"2022",1133
"70",14,"Unity Health Toronto - St. Michael's - 9 CC","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19",NA,2021-12-30,2022-01-13,"N",102,385,"2021",394
"71",15,"Cedarhurst Dementia Care Home - 1E & 2E","2601 Bayview Ave","Retirement Home","Respiratory","COVID-19",NA,2024-03-21,NA,"Y",35,247,"2024",272
"72",15,"Extendicare Scarborough - 2nd Fl","3830 Lawrence Ave E","LTCH","Respiratory","Respiratory syncytial virus",NA,2023-12-28,2024-01-22,"N",601,1016,"2023",1066
"73",15,"Southlake Regional Health Centre - RCC Church Site-3B","200 Church Street","Hospital-Chronic Care","Respiratory","COVID-19",NA,2020-12-27,2021-01-30,"N",49,519,"2020",553
"74",15,"Unity Health Toronto - St. Joseph's - 6G","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19",NA,2022-12-29,2023-01-11,"N",248,1107,"2022",1133
"75",15,"Wexford Residence - 2nd & 7th Fl","1860 Lawrence Ave E","LTCH","Respiratory","COVID-19",NA,2021-12-30,2022-02-12,"N",187,385,"2021",394
"76",16,"Amica Bayview Gardens","1925 Rean Dr","Retirement Home","Respiratory","Coronavirus*",NA,2024-03-20,NA,"Y",35,247,"2024",272
"77",16,"Harold and Grace Baker - Main Fl","1 Northwestern Ave","LTCH","Respiratory","Influenza A (Not subtyped)",NA,2023-12-28,2024-01-08,"N",601,1016,"2023",1066
"78",16,"Hellenic Care for Seniors - 1st Fl","215 Tyrrel Avenue","LTCH","Respiratory","COVID-19",NA,2020-12-27,2021-02-14,"N",316,519,"2020",553
"79",16,"Tendercare Living Centre","1020 McNicoll Ave","LTCH","Respiratory","COVID-19",NA,2021-12-29,2022-03-20,"N",187,385,"2021",394
"80",16,"Yee Hong Centre - Scarborough McNicoll - 2nd Fl","2311 McNicoll Ave","LTCH","Respiratory","COVID-19",NA,2022-12-29,2023-01-16,"N",477,1107,"2022",1133
"81",17,"Bill McMurray Residence - Kitchen Area, Dining Area -","180 Sheridan Ave - 3rd, 5th, 6th & 7th Fl","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-02-22,"N",55,385,"2021",394
"82",17,"Cedarvale Terrace - 2nd Fl","429 Walmer Road","LTCH","Respiratory","COVID-19",NA,2022-12-28,2023-01-19,"N",477,1107,"2022",1133
"83",17,"Chartwell Gibson Long Term Care Residence","1925 Steeles Avenue East","LTCH","Respiratory","COVID-19",NA,2020-12-27,2021-02-21,"N",316,519,"2020",553
"84",17,"Ina Grafton Gage Home - Unit 2","40 Bell Estate Rd","LTCH","Respiratory","COVID-19",NA,2023-12-28,2024-01-05,"N",601,1016,"2023",1066
"85",17,"North York General Hospital - General Site - 7W","4001 Leslie St","Hospital-Acute Care","Respiratory","Influenza A (H1)",NA,2024-03-20,NA,"Y",27,247,"2024",272
"86",18,"Cedarbrook Lodge Retirement Residence - 2nd & 3rd Fl","520 Markham Rd","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-02-10,"N",55,385,"2021",394
"87",18,"Chartwell White Eagle Long Term Care Residence - 2nd, 3rd & 4th Fl","138 Dowling Ave","LTCH","Respiratory","COVID-19",NA,2022-12-28,2023-01-16,"N",477,1107,"2022",1133
"88",18,"Ehatare Retirement Home","40 Old Kingston Road","Retirement Home","Respiratory","COVID-19",NA,2020-12-26,2021-01-22,"N",97,519,"2020",553
"89",18,"North York General Hospital - Branson Site - RCC 3","555 Finch Ave West","Hospital-Chronic Care","Respiratory","COVID-19",NA,2023-12-28,2024-01-08,"N",131,1016,"2023",1066
"90",18,"Norwood Nursing Home - 2nd Fl","122 Tyndall Ave","LTCH","Respiratory","Unable to identify",NA,2024-03-20,NA,"Y",169,247,"2024",272
"91",19,"Cedarbrook Lodge Retirement Residence - 2nd, 4th & 6th Fl","520 Markham Road","Retirement Home","Respiratory","COVID-19",NA,2020-12-26,2021-02-06,"N",97,519,"2020",553
"92",19,"Chartwell Guildwood Retirement Residence - 2nd Fl -","65 Livingston Rd - (Memory unit)","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-02-07,"N",55,385,"2021",394
"93",19,"Chester Village - 2 West Topaz","3555 Danforth Ave","LTCH","Respiratory","Parainfluenza",NA,2024-03-20,2024-03-26,"N",169,247,"2024",272
"94",19,"Craiglee Nursing Home - 3rd Fl West","102 Craiglee Dr","LTCH","Enteric","Unable to identify",NA,2022-12-28,2023-01-05,"N",477,23,"2022",1133
"95",19,"Presentation Manor For Seniors - 1st, 2nd, 3rd & 4th Fl","61 Fairfax Cres","Retirement Home","Respiratory","COVID-19",NA,2023-12-28,2024-02-15,"N",195,1016,"2023",1066
"96",20,"Ehatare Retirement Home - 1st, 2nd & 3rd Fl","40 Old Kingston Rd","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-01-28,"N",55,385,"2021",394
"97",20,"Kensington Gardens North Building - 3 East","25 Brunswick Avenue","LTCH","Respiratory","COVID-19",NA,2020-12-25,2021-01-13,"N",316,519,"2020",553
"98",20,"Labdara Lithuanian Nursing Home - 2nd Fl","5 Resurrection Rd","LTCH","Respiratory","Pending",NA,2024-03-19,NA,"Y",169,247,"2024",272
"99",20,"Sunnybrook Health Sciences Centre - K3CA","2075 Bayview Ave","Hospital-Acute Care","Other","CPE Unspecified (NDM)",NA,2022-12-28,2023-01-16,"N",248,3,"2022",1133
"100",20,"Tony Stacey Centre for Veterans' Care - 1 East & 1 North","59 Lawson Rd","LTCH","Respiratory","COVID-19",NA,2023-12-28,2024-01-18,"N",601,1016,"2023",1066
"101",21,"Bendale Acres - 2 East Unit","2920 Lawrence Ave E","LTCH","Respiratory","COVID-19",NA,2023-12-27,2024-01-22,"N",601,1016,"2023",1066
"102",21,"Extendicare Bayview","550 Cummer Avenue","LTCH","Respiratory","COVID-19",NA,2020-12-25,2021-02-02,"N",316,519,"2020",553
"103",21,"Garden Court Nursing Home - 1st,2nd Fl & Kitchen","1 Sand Beach Rd","LTCH","Respiratory","COVID-19",NA,2021-12-29,2022-01-25,"N",187,385,"2021",394
"104",21,"Labdara Lithuanian Nursing Home - 1st Fl","5 Resurrection Rd","LTCH","Respiratory","COVID-19",NA,2024-03-19,NA,"Y",169,247,"2024",272
"105",21,"Unity Health Toronto - Providence - B3","3276 St. Clair Avenue East","Hospital-Chronic Care","Respiratory","COVID-19",NA,2022-12-28,2023-01-11,"N",177,1107,"2022",1133
"106",22,"Chartwell Guildwood Retirement Residence","65 Livingston Rd","Retirement Home","Enteric","Norovirus",NA,2023-12-27,2024-01-22,"N",195,47,"2023",1066
"107",22,"Fountain View Care Community","1800 O'Connor Drive","LTCH","Respiratory","COVID-19",NA,2020-12-25,2021-02-11,"N",316,519,"2020",553
"108",22,"Harold and Grace Baker Centre","1 Northwestern Ave","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-02-03,"N",55,385,"2021",394
"109",22,"Queens Estate Retirement Residence - 3rd Fl","265 Queens Dr","Retirement Home","Respiratory","Coronavirus*",NA,2024-03-18,NA,"Y",35,247,"2024",272
"110",22,"Valleyview Residence - 4 East","541 Finch Ave W","LTCH","Respiratory","COVID-19",NA,2022-12-28,2023-01-17,"N",477,1107,"2022",1133
"111",23,"Centre For Addiction and Mental Health - Queen Street Site - PRT5","1001 Queen St West","Hospital-Psychiatric","Respiratory","COVID-19",NA,2024-03-18,NA,"Y",8,247,"2024",272
"112",23,"Fudger House - 1st Fl West","439 Sherbourne St","LTCH","Respiratory","Coronavirus*",NA,2023-12-27,2023-12-29,"N",601,1016,"2023",1066
"113",23,"Hillcrest Reactivation Centre","47 Austin Terr","Hospital-Chronic Care","Respiratory","COVID-19",NA,2021-12-29,2022-02-04,"N",47,385,"2021",394
"114",23,"Lakeside Long Term Care Centre - 1st Fl","150 Dunn Avenue","LTCH","Respiratory","COVID-19",NA,2020-12-24,2021-01-15,"N",316,519,"2020",553
"115",23,"West Park Long Term Care Centre - Hughes & Prittie","82 Buttonwood Avenue","LTCH","Respiratory","COVID-19",NA,2022-12-28,2023-01-14,"N",477,1107,"2022",1133
"116",24,"Chartwell Lansing Retirement Residence - 3rd Fl","10 Senlac Rd","Retirement Home","Respiratory","COVID-19",NA,2022-12-27,2023-01-18,"N",205,1107,"2022",1133
"117",24,"Hazelton Place Retirement Residence - 3rd & 8th Fl","111 Ave Rd","Retirement Home","Respiratory","COVID-19",NA,2023-12-27,2024-01-08,"N",195,1016,"2023",1066
"118",24,"Leaside Retirement Residence - 2nd, 3rd Fl & Building 10","10 -14 William Morgan Drive","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-01-31,"N",55,385,"2021",394
"119",24,"Rockcliffe Care Community - Scarborough - 1st Fl","3015 Lawrence Ave E","LTCH","Respiratory","COVID-19",NA,2024-03-18,NA,"Y",169,247,"2024",272
"120",24,"Vermont Square - 3rd Fl","914 Bathurst Street","LTCH","Respiratory","COVID-19",NA,2020-12-24,2021-01-18,"N",316,519,"2020",553
"121",25,"McNicoll Manor/Moll Berczy Haus - 4th & 5th Fl","1020 McNicoll Ave","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-02-12,"N",55,385,"2021",394
"122",25,"Midland Gardens Care Community - 4th & 5th Fl","130 Midland Ave","LTCH","Respiratory","COVID-19",NA,2023-12-27,2024-01-08,"N",601,1016,"2023",1066
"123",25,"Scarborough Health Network - General Hospital - T9","3050 Lawrence Ave E","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-24,2021-01-19,"N",82,519,"2020",553
"124",25,"Unity Health Toronto - St. Joseph's - 4M","30 The Queensway","Hospital-Acute Care","Respiratory","COVID-19",NA,2022-12-27,2023-01-19,"N",248,1107,"2022",1133
"125",25,"Unity Health Toronto - St. Joseph's Health Centre - 4M","30 The Queensway","Hospital-Acute Care","Enteric","Norovirus",NA,2024-03-18,2024-03-26,"N",27,25,"2024",272
"126",26,"Craiglee Nursing Home - Scarborough - 1 East","102 Craiglee Dr","LTCH","Respiratory","COVID-19",NA,2024-03-17,NA,"Y",169,247,"2024",272
"127",26,"Cummer Lodge - 4 South & North","205 Cummer Ave","LTCH","Respiratory","Respiratory syncytial virus","Rhinovirus",2022-12-26,2023-01-14,"N",477,1107,"2022",1133
"128",26,"Retirement Suites by the Lake","2121 Kingston Rd","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-01-31,"N",55,385,"2021",394
"129",26,"Scarborough Health Network - Birchmount Hospital - G4C","3030 Birchmount Rd.","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-24,2021-02-08,"N",82,519,"2020",553
"130",26,"Tapestry at Village Gate West - 6th & 8th Fl","15 Summerland Terr","Retirement Home","Respiratory","COVID-19",NA,2023-12-27,2024-01-09,"N",195,1016,"2023",1066
"131",27,"Elm Grove Living Centre - 2nd Fl","35 Elm Grove Ave","LTCH","Respiratory","Respiratory syncytial virus",NA,2022-12-26,2023-01-04,"N",477,1107,"2022",1133
"132",27,"Hellenic Home Scarborough - 1st Fl","2411 Lawrence Ave","LTCH","Respiratory","Influenza A (Not subtyped)",NA,2024-03-16,NA,"Y",169,247,"2024",272
"133",27,"Sunnybrook Health Sciences Centre - Bayview Campus - C4","2075 Bayview Avenue","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-23,2021-01-20,"N",82,519,"2020",553
"134",27,"Tapestry at Village Gate West - Kitchen/Restaurant & -","15 Summerland Terr - Concierge/Front Desk","Retirement Home","Respiratory","COVID-19",NA,2021-12-29,2022-02-04,"N",55,385,"2021",394
"135",27,"TEHN - Atrium At Kew Beach - 3rd Fl (MGH Associated Unit)","500 Kingston Rd","Hospital-Chronic Care","Respiratory","Influenza A (Not subtyped)","Enterovirus/ Rhinovirus",2023-12-27,2024-01-05,"N",131,1016,"2023",1066
"136",28,"Eatonville Care Centre - 3rd Fl","420 The East Mall","LTCH","Respiratory","Coronavirus*",NA,2024-03-16,2024-03-27,"N",169,247,"2024",272
"137",28,"Extendicare Guildwood - West Unit","60 Guildwood Pky","LTCH","Enteric","Norovirus-like",NA,2022-12-26,2023-01-03,"N",477,23,"2022",1133
"138",28,"Terraces of Baycrest - 11th Fl","55 Ameer Ave","Retirement Home","Respiratory","COVID-19",NA,2023-12-27,2024-01-08,"N",195,1016,"2023",1066
"139",28,"Unity Health Toronto - St. Michael's - 7CCV North","30 Bond Street","Hospital-Acute Care","Respiratory","COVID-19",NA,2021-12-29,2022-01-15,"N",102,385,"2021",394
"140",28,"West Park Healthcare Centre - 3EA","82 Buttonwood Avenue","Hospital-Chronic Care","Respiratory","COVID-19",NA,2020-12-23,2021-01-22,"N",49,519,"2020",553
"141",29,"Hazelton Place Retirement Residence","111 Avenue Rd","Retirement Home","Respiratory","Influenza A (Not subtyped)",NA,2022-12-26,2023-01-16,"N",205,1107,"2022",1133
"142",29,"Maynard Nursing Home","28 Halton Street","LTCH","Respiratory","COVID-19",NA,2020-12-23,2021-03-12,"N",316,519,"2020",553
"143",29,"The Kensington Gardens - 2E, 3W & 4E","25 Brunswick Ave","LTCH","Respiratory","COVID-19",NA,2023-12-27,2024-01-15,"N",601,1016,"2023",1066
"144",29,"Valleyview Residence - 2 East & 3 West","541 Finch Ave W","LTCH","Respiratory","COVID-19",NA,2021-12-29,2022-02-05,"N",187,385,"2021",394
"145",29,"Villa Colombo Homes For The Aged - Fidani Unit","40 Playfair Ave","LTCH","Respiratory","Coronavirus*",NA,2024-03-16,2024-03-26,"N",169,247,"2024",272
"146",30,"North York General Hospital - General Site - 6N","4001 Leslie Street","Hospital-Acute Care","Respiratory","COVID-19",NA,2022-12-26,2023-01-05,"N",248,1107,"2022",1133
"147",30,"Trillium Health Partners - McCall Continuing Care - 3rd Fl","140 Sherway Drive","Hospital-Chronic Care","Respiratory","COVID-19",NA,2023-12-27,2024-01-13,"N",131,1016,"2023",1066
"148",30,"UHN - Toronto Western Hosptial - 8B","399 Bathurst St","Hospital-Acute Care","Respiratory","Respiratory syncytial virus",NA,2024-03-15,NA,"Y",27,247,"2024",272
"149",30,"West Park Healthcare Centre - ABIBS","82 Buttonwood Avenue","Hospital-Chronic Care","Respiratory","COVID-19",NA,2021-12-29,2022-01-17,"N",47,385,"2021",394
"150",30,"William Osler Health System - 8th Fl","101 Humber College Boulevard","Hospital-Acute Care","Respiratory","COVID-19",NA,2020-12-22,2021-01-05,"N",82,519,"2020",553
"151",31,"Cummer Lodge - 3 North","205 Cummer Ave","LTCH","Respiratory","Influenza A (Not subtyped)",NA,2024-03-15,2024-03-22,"N",169,247,"2024",272
"152",31,"Extendicare Bayview","550 Cummer Ave","LTCH","Enteric","Norovirus-like",NA,2022-12-25,2023-01-13,"N",477,23,"2022",1133
"153",31,"University Health Network - Bickle Centre - 3 North","130 Dunn Ave","Hospital-Chronic Care","Respiratory","COVID-19",NA,2023-12-27,2024-01-06,"N",131,1016,"2023",1066
"154",31,"West Park Long Term Care - Weston-Mulholland","82 Buttonwood Ave","LTCH","Respiratory","COVID-19",NA,2020-12-22,2021-01-20,"N",316,519,"2020",553
"155",31,"West Park Long Term Care Centre - Humber/York","82 Buttonwood Ave","LTCH","Respiratory","COVID-19",NA,2021-12-29,2022-01-18,"N",187,385,"2021",394
"156",32,"Baycrest Hospital CCC - BH4E","3560 Bathurst St","Hospital-Chronic Care","Respiratory","Metapneumovirus",NA,2024-03-14,NA,"Y",33,247,"2024",272
